Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KE4KEH,53.570000,split,54.570000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,KE4KEH,,,,
1,K4CQ,444.500000,split,449.500000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,K4CQ,,,,
2,K4CQ,921.000000,split,909.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,K4CQ,,,,
3,K4LBG,444.750000,split,449.750000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,K4LBG,,,,
4,ARES/RACES,145.490000,split,144.890000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES,,,,
5,ARES/RACES,147.195000,split,147.795000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES,,,,
6,ARES/RACES,146.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES,,,,
7,AmherstFD Paging,155.520000,split,156.090000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire Paging,,,,
8,Amherst SchBuses,464.900000,split,469.900000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,School Buses,,,,
9,SweetBriar PD,152.405000,split,157.665000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police,,,,
10,CVTC PD 1/2,154.055000,split,158.947500,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Police (Ch. 1/2),,,,
11,CVTC Ops,154.965000,,0.600000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Operations,,,,
