Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,BedCo Fire,460.625000,split,465.625000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Fire (Simulcast of TRS),,,,
1,BedCo Fire,460.600000,split,465.600000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Fire (Simulcast of TRS),,,,
2,BedCo Rescue,462.975000,split,467.975000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Rescue (Simulcast of TRS),,,,
3,BigIslandVFD,45.920000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Fire/Rescue,,,,
4,KC4RBA,145.370000,split,144.770000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,FM,5.00,,50W,KC4RBA - Echolink,,,,
5,WA1ZMS,224.180000,split,222.580000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,WA1ZMS,,,,
6,N4PLV,224.840000,split,223.240000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,N4PLV,,,,
7,WA1ZMS,442.650000,split,447.650000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,WA1ZMS,,,,
8,KC4RBA,443.450000,split,448.450000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,FM,5.00,,50W,KC4RBA,,,,
9,WA1ZMS,443.800000,split,448.800000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,WA1ZMS,,,,
10,WA1ZMS,921.100000,split,909.100000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,WA1ZMS,,,,
11,WA1ZMS,1283.100000,split,1271.100000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,WA1ZMS,,,,
12,K4LYL,53.150000,split,52.150000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,K4LYL,,,,
13,ARES/RACES,146.685000,split,146.085000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"ARES/RACES, CVECCN, & Skywarn",,,,
14,ARES/RACES,147.105000,split,146.705000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES (EchoLink repeater node number 3693),,,,
15,ARES/RACES,146.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES Simplex,,,,
16,CarBdfdHosp,451.400000,split,456.400000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Carilion Bedford Memorial Hospital,,,,
