Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CC F/E Ops 1,151.025000,split,154.890000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS Ops 1 (multicast from trunked system),,,,
1,CC EMS-Hosp,462.950000,split,467.950000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,EMS-to-Hospital,,,,
2,CCSO 1,154.740000,split,159.090000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sheriff 1 (multicast from trunked system),,,,
3,CampbellSchBuses,451.862500,split,456.862500,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,School Buses (DCS 157),,,,
4,CC F/E Ops 2,150.995000,split,159.075000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS Ops 2 (multicast from trunked system),,,,
5,CC Cnty Ops 3,151.055000,split,153.950000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,County Ops 3 (multicast from trunked system),,,,
6,CC F/E Disp,155.190000,split,156.060000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/EMS Dispatch (multicast from trunked system),,,,
7,Altavista PW,154.100000,split,158.805000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,50W,Altavista Public Works,,,,
8,N4TZE,145.290000,split,144.690000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,N4TZE,,,,
9,N4UTN,146.835000,split,146.235000,TSQL,173.8,173.8,023,NN,023,Tone->Tone,FM,5.00,,50W,N4UTN,,,,
10,WA4ISI,444.425000,split,449.425000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,WA4ISI,,,,
11,N4TZE,53.770000,split,54.770000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,N4TZE,,,,
12,ARES/RACES,146.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,ARES/RACES Simplex,,,,
