Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Lynch School,155.940000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,School Buses,,,,
1,LibU Police,461.150000,split,466.150000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Liberty University Police,,,,
2,RiverRdgMall,463.450000,split,468.450000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,River Ridge Mall,,,,
3,LYH Tower VHF,127.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
4,LYH Ground,121.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Ground,,,,
5,LYH AWOS,119.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,AWOS/ATIS WX,,,,
6,LYH Tower UHF,257.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
7,ROA App/Dep E,125.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Roanoke App/Dep East of VORTAC,,,,
8,ROA App/Dep W,135.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Roanoke App/Dep West of VORTAC,,,,
9,LYH Freedom,122.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Freedom Aviation FBO,,,,
10,LYH VA Aviat,122.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Virginia Aviation FBO,,,,
11,LU Aeronaut,123.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Liberty University School of Aeronautics,,,,
12,REACT 550,462.550000,,0.600000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Hertiage Baptist Church REACT,,,,
13,REACT 675,462.675000,,0.600000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Lynchburg REACT,,,,
14,Lynchburg REACT,462.550000,split,467.550000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Lynchburg REACT,,,,
