Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Pitt F/R Alert,155.775000,split,159.075000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Alert,,,,
1,PC VHF Firegrnd,153.830000,,0.600000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue Fireground,,,,
2,PC Pub Works,45.560000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Public Works,,,,
3,PC Sch Maint,158.955000,split,153.980000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Schools - Maintenance,,,,
4,PC Sch Trnsp,152.930000,split,159.735000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,NFM,5.00,,50W,Schools - Transportation,,,,
5,Angel SAR 205,155.205000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Angel Search and Rescue - Statewide EMS,,,,
6,Angel SAR NATSAR,155.160000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Angel Search and Rescue - National Search and Rescue,,,,
7,Angel SAR Main,159.315000,,0.600000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.00,,50W,Angel Search and Rescue - Main,,,,
8,Tunstall F/R,154.070000,split,151.100000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Tunstall Fire/Rescue,,,,
9,BrosvilleF/R Tac,154.145000,,0.600000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Brosville Fire/Rescue Tac,,,,
10,BrosvilleF/R Rpt,154.490000,split,159.555000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Brosville Fire/Rescue Repeater,,,,
11,Callands F/R,154.160000,split,159.097500,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,5.00,,50W,Callands Fire/Rescue,,,,
12,RicevilleJavaVFD,154.325000,,0.600000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Riceville Java Volunteer Fire Department,,,,
13,MtHermon F/R,154.355000,split,151.220000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,Mt. Hermon Fire/Rescue,,,,
14,Ringgold F/R,154.385000,split,153.770000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Ringgold Fire/Rescue,,,,
15,Climax VFD,154.430000,,0.600000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Climax Volunteer Fire Department,,,,
16,PC Fireground 9,770.143750,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,P25,5.00,,50W,Fireground Ch. 9,,,,
17,Chatham Rescue,155.760000,split,153.935000,TSQL,167.9,167.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Rescue (Air South VHF) (patched to trunked system),,,,
18,Gretna Fire/Res,155.115000,split,158.865000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire/Rescue (Air North VHF) (patched to trunked system),,,,
19,K4AU,146.700000,split,146.100000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,K4AU (White Oak Mountain),,,,
